City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Hokitika,NZ,2020-06-21 20:32:37,-42.72,170.97,48.13,69,0,4.0
70,Saint George,US,2020-06-21 20:30:00,37.1,-113.58,100.99,11,1,5.82
71,Lompoc,US,2020-06-21 20:31:17,34.64,-120.46,68.0,64,10,16.11
72,Kaitangata,NZ,2020-06-21 20:32:38,-46.28,169.85,34.48,86,0,3.83
73,Butaritari,KI,2020-06-21 20:32:38,3.07,172.79,83.5,79,39,14.97
74,Vardo,NO,2020-06-21 20:32:38,70.37,31.11,46.4,81,40,5.82
75,Ilhabela,BR,2020-06-21 20:32:38,-23.78,-45.36,75.43,69,2,4.88
76,Xuddur,SO,2020-06-21 20:32:38,4.12,43.89,75.69,62,85,21.47
77,Pio Xii,BR,2020-06-21 20:32:40,-3.83,-45.15,76.73,76,68,1.95
78,Katsuura,JP,2020-06-21 20:32:40,35.13,140.3,70.0,88,75,16.11
79,Horsham,GB,2020-06-21 20:28:30,51.06,-0.33,62.6,77,20,5.82
80,Carora,VE,2020-06-21 20:32:40,10.18,-70.08,91.76,35,56,18.61
81,Tenenkou,ML,2020-06-21 20:32:41,14.46,-4.92,97.3,27,70,12.97
82,Dunedin,NZ,2020-06-21 20:31:07,-45.87,170.5,34.0,93,3,8.99
83,Kalmunai,LK,2020-06-21 20:32:41,7.42,81.82,82.94,70,100,7.0
84,Mar Del Plata,AR,2020-06-21 20:29:11,-38.0,-57.56,55.99,66,20,13.87
85,Lorengau,PG,2020-06-21 20:32:41,-2.02,147.27,80.98,77,9,2.35
86,Puerto Leguizamo,CO,2020-06-21 20:32:42,-0.19,-74.78,82.02,70,69,3.76
87,Kysyl-Syr,RU,2020-06-21 20:32:42,63.9,122.76,64.76,65,93,8.3
88,Port Lincoln,AU,2020-06-21 20:32:42,-34.73,135.87,54.5,80,14,13.71
89,Barrow,US,2020-06-21 20:31:10,71.29,-156.79,41.0,80,90,14.99
90,Hermanus,ZA,2020-06-21 20:32:02,-34.42,19.23,55.99,90,67,1.99
91,Narsaq,GL,2020-06-21 20:28:44,60.92,-46.05,60.8,41,100,6.93
92,Kasempa,ZM,2020-06-21 20:32:43,-13.46,25.83,53.58,54,0,6.49
93,Glendive,US,2020-06-21 20:32:43,47.11,-104.71,72.0,53,1,13.87
94,Vicente Guerrero,MX,2020-06-21 20:32:45,19.12,-98.17,73.4,49,75,9.17
95,Avarua,CK,2020-06-21 20:32:45,-21.21,-159.78,75.2,60,100,11.41
96,Port Elizabeth,ZA,2020-06-21 20:31:15,-33.92,25.57,59.0,82,0,11.41
97,Trapani,IT,2020-06-21 20:32:45,37.83,12.67,73.4,88,40,4.7
98,Pimentel,PE,2020-06-21 20:32:45,-6.84,-79.93,71.6,64,33,18.34
99,Walvis Bay,NA,2020-06-21 20:32:46,-22.96,14.51,60.8,67,50,2.24
100,Castro,BR,2020-06-21 20:32:41,-24.79,-50.01,61.32,79,0,3.89
101,Nara,JP,2020-06-21 20:32:46,34.69,135.8,73.4,69,75,6.93
102,Halifax,CA,2020-06-21 20:30:33,44.65,-63.57,64.0,71,61,7.43
103,Sorong,ID,2020-06-21 20:32:47,-0.88,131.25,78.19,85,93,10.38
