City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
68,Tuktoyaktuk,CA,69.45,-133.04,62.6,55,75,9.17,broken clouds,0.0,0.0
69,Anloga,GH,5.79,0.9,78.8,88,20,5.82,few clouds,0.0,0.0
70,Nhulunbuy,AU,-12.23,136.77,80.6,61,75,18.34,shower rain,0.0,0.0
71,Biltine,TD,14.53,20.92,82.85,30,0,6.22,clear sky,0.0,0.0
72,Prince Rupert,CA,54.32,-130.32,59.0,77,90,16.11,overcast clouds,0.0,0.0
73,Puerto Salgar,CO,5.46,-74.65,79.45,69,95,0.6,overcast clouds,0.0,0.0
74,Saint-Philippe,RE,-21.36,55.77,66.2,77,55,5.82,broken clouds,0.0,0.0
75,Shimoda,JP,34.67,138.95,77.0,73,75,8.05,broken clouds,0.0,0.0
76,Lewistown,US,40.6,-77.57,71.01,100,40,0.92,light rain,0.76,0.0
77,Bandarbeyla,SO,9.49,50.81,81.77,65,98,22.39,overcast clouds,0.0,0.0
78,Sao Filipe,CV,14.9,-24.5,78.44,71,0,10.69,clear sky,0.0,0.0
79,Souillac,MU,-20.52,57.52,71.6,78,40,3.36,scattered clouds,0.0,0.0
80,Cabo San Lucas,MX,22.89,-109.91,82.4,61,5,6.93,clear sky,0.0,0.0
81,Maneadero,MX,31.72,-116.57,70.0,78,13,4.0,few clouds,0.0,0.0
82,Ostrovnoy,RU,68.05,39.51,39.54,79,100,18.32,overcast clouds,0.0,0.0
83,Srednekolymsk,RU,67.45,153.68,68.49,24,0,15.86,clear sky,0.0,0.0
84,Olafsvik,IS,64.89,-23.71,48.43,83,100,9.82,overcast clouds,0.0,0.0
85,Inhambane,MZ,-23.86,35.38,66.87,85,73,8.05,light rain,0.67,0.0
86,Provideniya,RU,64.38,-173.3,50.0,81,90,6.71,light intensity shower rain,0.0,0.0
87,Busselton,AU,-33.65,115.33,59.0,70,63,19.04,light rain,0.27,0.0
88,Kavieng,PG,-2.57,150.8,84.85,70,79,7.63,light rain,0.12,0.0
89,Aklavik,CA,68.22,-135.01,68.0,45,90,9.17,overcast clouds,0.0,0.0
